,region,time,iso,gdp_percapita_mean,gdp_percapita_std
14274,CUB.5_1,2010,CUB,5076.718122033875,3162.0148660688783
14275,CUB.5_1,2011,CUB,5031.810823053553,2983.280947996754
14276,CUB.5_1,2012,CUB,5157.032755413533,3257.9678910548314
14277,CUB.5_1,2013,CUB,5261.3386653806765,3141.111480846914
14278,CUB.6_1,1992,CUB,2291.717552068444,1386.9050655537844
14279,CUB.6_1,1993,CUB,2414.204182411068,1480.667383725554
14280,CUB.6_1,1994,CUB,2873.863584343275,1776.4705791450394
14281,CUB.6_1,1995,CUB,3112.920893694473,1790.4423212516472
14282,CUB.6_1,1996,CUB,2338.027834745482,1386.1792866121484
14283,CUB.6_1,1997,CUB,2476.974689456714,1416.9600709768777
14284,CUB.6_1,1998,CUB,2426.702936940775,1514.3856359544213
14285,CUB.6_1,1999,CUB,2675.1985601123524,1548.9933848886265
14286,CUB.6_1,2000,CUB,2702.551864373235,1658.6839809944418
14287,CUB.6_1,2001,CUB,2735.191301824275,1591.0549372350645
14288,CUB.6_1,2002,CUB,2752.8989288484972,1561.7503840155866
14289,CUB.6_1,2003,CUB,3080.464733740036,1972.8963094788478
14290,CUB.6_1,2004,CUB,3175.777279946563,1942.1093281798608
14291,CUB.6_1,2005,CUB,3316.8233287389485,1823.6873275991225
14292,CUB.6_1,2006,CUB,4174.427506362175,2571.900947545806
14293,CUB.6_1,2007,CUB,4447.143763435771,2934.6638081174597
14294,CUB.6_1,2008,CUB,4571.378946000161,2706.8352558565766
14295,CUB.6_1,2009,CUB,4615.648795733783,2826.4754736718783
14296,CUB.6_1,2010,CUB,4876.812212476132,2774.3003240210483
14297,CUB.6_1,2011,CUB,4818.205097619509,2787.5819643679984
14298,CUB.6_1,2012,CUB,5082.476615438519,2980.420899778392
14299,CUB.6_1,2013,CUB,5474.664809967763,3498.658768102808
14300,CUB.7_1,1992,CUB,2287.0777771390017,1427.566802386242
14301,CUB.7_1,1993,CUB,2230.238322359698,1397.2782706827954
14302,CUB.7_1,1994,CUB,2767.62165438401,1654.3380966952093
14303,CUB.7_1,1995,CUB,3000.3515289386937,1813.21781187204
14304,CUB.7_1,1996,CUB,2460.173081933782,1479.8714666568674
14305,CUB.7_1,1997,CUB,2329.7049311028964,1459.3219845089448
14306,CUB.7_1,1998,CUB,2412.7975806224813,1571.6558082505464
14307,CUB.7_1,1999,CUB,2595.388958486441,1651.9214595486937
14308,CUB.7_1,2000,CUB,2760.3832686384244,1685.0574776057545
14309,CUB.7_1,2001,CUB,2788.7914528340057,1986.6316283881363
14310,CUB.7_1,2002,CUB,2745.7844493881666,1614.0936568493041
14311,CUB.7_1,2003,CUB,3015.154818017146,1838.9891266396428
14312,CUB.7_1,2004,CUB,3040.5005652683676,1891.8533335187642
14313,CUB.7_1,2005,CUB,3359.838661508266,2088.3417565591044
14314,CUB.7_1,2006,CUB,3959.4105976861797,2337.7160812773063
14315,CUB.7_1,2007,CUB,4269.898718629114,2532.719145777766
14316,CUB.7_1,2008,CUB,4509.758913142945,2638.563834379476
14317,CUB.7_1,2009,CUB,4469.426533290962,2711.4995270560507
14318,CUB.7_1,2010,CUB,4792.840329168926,2867.269423765571
14319,CUB.7_1,2011,CUB,4959.090729458585,2919.203617177776
14320,CUB.7_1,2012,CUB,4952.561159879658,2937.7064475207967
14321,CUB.7_1,2013,CUB,5082.586636719417,3088.9422786721957
14322,CUB.8_1,1992,CUB,2389.8834170270593,1483.7859644368325
14323,CUB.8_1,1993,CUB,2219.622576973651,1316.0285913682171
14324,CUB.8_1,1994,CUB,2722.9453864224647,1596.876588870584
14325,CUB.8_1,1995,CUB,2984.355411516823,1879.0556744587225
14326,CUB.8_1,1996,CUB,2359.74827038801,1425.2840005805242
14327,CUB.8_1,1997,CUB,2358.7066563889493,1534.9690345480672
14328,CUB.8_1,1998,CUB,2355.0186459553706,1516.766554482828
14329,CUB.8_1,1999,CUB,2472.899405521548,1333.8696717663956
14330,CUB.8_1,2000,CUB,2749.082541434213,1624.4117598474836
14331,CUB.8_1,2001,CUB,2664.1925174345934,1620.3029108037479
14332,CUB.8_1,2002,CUB,2797.6647501335196,1699.1426894568767
14333,CUB.8_1,2003,CUB,2931.464456896886,1773.2062024600102
14334,CUB.8_1,2004,CUB,2993.932066298449,1759.4212715628805
14335,CUB.8_1,2005,CUB,3212.9834573674293,1874.3749076221234
14336,CUB.8_1,2006,CUB,3826.2952965471673,2221.177911176969
14337,CUB.8_1,2007,CUB,4309.218459016593,2524.2469599274186
14338,CUB.8_1,2008,CUB,4338.469626669183,2622.2513437548837
14339,CUB.8_1,2009,CUB,4374.636223187177,2400.6360575769995
14340,CUB.8_1,2010,CUB,4482.759365011781,2872.774856595329
14341,CUB.8_1,2011,CUB,4664.166235970801,2682.302751696206
14342,CUB.8_1,2012,CUB,4939.218536267359,2905.2700652294952
14343,CUB.8_1,2013,CUB,5364.018799129489,3364.17962604492
14344,CUB.9_1,1992,CUB,2304.1390433752013,1385.0511121565648
14345,CUB.9_1,1993,CUB,2303.3467348003555,1362.9334163654516
14346,CUB.9_1,1994,CUB,2931.6410591434314,1740.9819381819964
14347,CUB.9_1,1995,CUB,3178.591316502217,1935.8991584374294
14348,CUB.9_1,1996,CUB,2574.38928691722,1543.1817539678332
14349,CUB.9_1,1997,CUB,2403.628206324513,1432.0520088451822
14350,CUB.9_1,1998,CUB,2474.609067966902,1548.4967822706203
14351,CUB.9_1,1999,CUB,2820.5553885372515,1843.6752207443615
14352,CUB.9_1,2000,CUB,2859.900893649902,1825.6029933692473
14353,CUB.9_1,2001,CUB,2842.007852481432,1710.6653458643063
14354,CUB.9_1,2002,CUB,2995.0023589641387,1803.8436173244397
14355,CUB.9_1,2003,CUB,3162.718360254402,1901.525131563429
14356,CUB.9_1,2004,CUB,3126.068589478034,1904.0222059970667
14357,CUB.9_1,2005,CUB,3466.577508563723,2149.065205740125
14358,CUB.9_1,2006,CUB,4100.976818852632,2380.4192536082373
14359,CUB.9_1,2007,CUB,4288.467979777642,2623.095851406413
14360,CUB.9_1,2008,CUB,4518.642789820947,2848.3904432328227
14361,CUB.9_1,2009,CUB,4617.776265851969,2699.371279021907
14362,CUB.9_1,2010,CUB,4761.446333578555,2865.006677880569
14363,CUB.9_1,2011,CUB,5198.738605500322,3059.088829696752
14364,CUB.9_1,2012,CUB,5343.070784718867,3199.943522745159
14365,CUB.9_1,2013,CUB,5618.243955034781,3496.1167634021817
14366,CYM.1_1,1992,CYM,,
14367,CYM.1_1,1993,CYM,,
14368,CYM.1_1,1994,CYM,,
14369,CYM.1_1,1995,CYM,,
14370,CYM.1_1,1996,CYM,,
14371,CYM.1_1,1997,CYM,,
14372,CYM.1_1,1998,CYM,,
14373,CYM.1_1,1999,CYM,,
14374,CYM.1_1,2000,CYM,,
14375,CYM.1_1,2001,CYM,,
14376,CYM.1_1,2002,CYM,,
14377,CYM.1_1,2003,CYM,,
14378,CYM.1_1,2004,CYM,,
14379,CYM.1_1,2005,CYM,,
14380,CYM.1_1,2006,CYM,,
14381,CYM.1_1,2007,CYM,,
14382,CYM.1_1,2008,CYM,,
14383,CYM.1_1,2009,CYM,,
14384,CYM.1_1,2010,CYM,,
